Term1,Term2,label
manifestation,staircase,0
pallor,albumin,1
bronchoalveolar,bacteriologic,0
regrowth,arrangements,0
hepatitis,hematemesis,1
nerves,salesman,0
agreement,coughs,0
pulsavac,mat,0
albumin,heparin,1
hyperparathyroidism,htlv,0
formal,bordering,0
arthralgia,clubbing,1
hcg,osmotic,0
simethicone,found,0
hyperoxia,xenical,1
ultravist,bretylium,0
explains,vzv,0
tuffier,shingled,0
garlic,fish oil,1
diabetes,polyuria,1
torn,caseating,0
echocardiography,arousable,0
osteoporosis,actonel,1
upon,ultrasound,0
tkr,submaxillary,0
drooling,sinemet,1
infertility,fibrillation,1
myopathy,trembling,1
hypothyroidism,synthroid,1
hospitalized,subumbilical,0
exhalation,transilluminated,0
herpes,hyperthyroidism,1
retry,decadron,0
age,karyotyping,0
hepatitis,significance,0
examined,assaulted,0
nausea,vomiting,1
dolichoectasia,equivalent,0
tpa,subtractions,0
meningism,zovirax,1
gelport,injuries,0
variety,prompt,0
sleeplessness,agitation,1
asterixis,pan,0
syphilis,gonorrhea,1
detrol,corona,0
mycosis,medrol,1
neurocognitive,abductors,0
groomed,peep,0
latissimus,submaxillary,0
colchicine,probenecid,1
ileum,cholelithiasis,0
axonal,bezoar,0
cefoxitin,ceftiaxone,1
atherosclerosis,toothache,1
oms,constitutional,0
syncope,xanax,1
external,practice,0
mucopurulent,ones,0
trying,percutaneous,0
nose,decided,0
personality,contracting,0
remainder,intraorbital,0
cefazolin,keflex,1
perivalvular,dysdiadochokinesis,0
ketonuria,starvation,1
zestril,ginsana,0
duplex,exits,0
pap,paddles,0
ischemias,mittelschmerz,1
rhonchi,rales,1
epilepsy,alcohol,1
dusky,vibratory,0
strontium,ligature,0
snoring,inhibited,0
identifying,postauricular,0
dyslipidemia,cholestyramine,1
tfts,tuffier,0
narcan,morphine,1
atenolol,toprol-xr,1
fibrillation,angina,1
impersistence,northern,0
angina,diarrhea,1
monitored,reassured,0
department,inspect,0
strict,serial,0
aricept,hysterical,0
switzerland,vascularity,0
intravenous,initiated,0
pulsavac,flickering,0
appointment,trees,0
executive,mch,0
detailed,upsloping,0
recess,postangioplasty,0
aware,orhf,0
foamy,uncapping,0
artane,oxygenation,0
insula,sle,0
zofran,ipecac syrup,1
dogs,reflexion,0
definite,pericostal,0
coumadin,aspirin,1
phlebitis,constant,0
bougie,element,0
propranolol,bactroban,1
dermabond,nurolons,0
probenecid,percutaneous,0
anoxemia,seizures,1
worsening,persistently,0
hemoglobinopathy,pain,1
rocking,at,0
unless,crampy,0
cisplatin,zofran,1
reconsider,abstract,0
nystagmus,incontinence,1
sinemet,sinemet,1
dehydration,syncope,1
fibrillation,cardiomyopathies,1
mittelschmerz,actonel,1
workup,effortful,0
peroneus,needles,0
indicate,cyclophosphamide,0
plant,hemidiaphragm,0
beneath,yueh,0
bacteremia,amauroses,1
soaks,firmness,0
developmental,inotropic,0
formalin,hold,0
arose,vegetation,0
spirometry,remotely,0
pacific,taxus,0
pineal,percussion,0
regurgitation,heartburn,1
optimize,oxycodone,0
cataracts,insulin,1
quivering,aphthous,0
wrapped,hardware,0
connecting,police,0
arthralgia,pain,1
stabbing,amplatz,0
pneumoniae,septicemia,1
shunts,layer,0
wish,parapharyngeal,0
vallecula,reasonably,0
transected,lexiscan,0
radiographs,adenomatous,0
bronchioles,sets,0
read,ratio,0
ketonuria,chyluria,1
indicating,ibuprofen,0
actonel,fosamax,1
combative,park,0
actonel,novum,0
dyslipidemia,activase,1
supplementation,viagra,0
allergy ,bacitracin,1
diffuse,requested,0
preoxygenated,rheumatoid,0
arthritis,underexertion,1
events,sig,0
seasickness,clubbing,1
excellent,birth,0
worst,subdiaphragmatic,0
nonerythematous,shingles,0
fasteners,cystogram,0
reassured,staining,0
quiet,passed,0
wyoming,barany,0
globulin,dominant,0
blend,virtually,0
hemicrania,tylenol,1
recurred,mvv,0
langston,lorazepam,0
eliminated,propranolol,0
edge,gia,0
prepontine,affects,0
tte,relieve,0
dorsey,named,0
dyspnea,penicillin,1
signs,intraperitoneally,0
epilepsy,phenobarbital,1
do,whatsoever,0
exophthalmos,prostatism,1
arthritis,metatarsalgia,1
irrigation,locate,0
regularly,bean,0
bulbar,perforating,0
bioprosthetic,quadriparesis,0
hyperopia,hytrin,0
call,colonization,0
doughnuts,ovale,0
only,preanesthesia,0
cozaar,diovan,1
hemoptysis,protamine sulfate,1
online,quinidine,0
schistosomiasis,cardura,1
cardiovascular,parenchymal,0
overnutrition,sandimmune,1
developer,nutritional,0
pallor,iron,1
prostatism,prostatorrhea,1
dysentery,esmolol,1
inhaler,dose,0
trileptal,etoh,0
snoring,welts,1
diets,farmer,0
deafness,ataxia,1
dropping,footdrop,0
thromboembolism,syncope,1
pectodeltoid,remainder,0
bur,ad,0
medrol,prednisolone,1
myositis,lipitor,1
starvation,mittelschmerz,1
sciatica,underexertion,1
perianal,pneumovac,0
rating,abundantly,0
midmorning,bulb,0
levophed,propofol,1
candidiasis,medrol,1
happens,lesion,0
button,tired,0
nonlabored,nuchal,0
ataxia,constipation,1
consistencies,intensive,0
diffusely,paraspinals,0
lhermitte,dolgic,0
actoplus,dig,0
nightsweats,intercostal,0
consenting,hives,0
plates,indications,0
ginsana,scars,0
erythema,dilantin,1
hemolysis,sq,0
dizziness,atenolol,1
myeloperoxidase,ups,0
dyslipidemia,iron,1
cocaine,sondergaard,0
scapulalgia,nitroglycerine,1
outright,gej,0
cataracts,diabetes,1
deliveries,keyboard,0
splinting,despite,0
knew,qt,0
rheumatism,prednisolone,1
dizziness,vertigo,1
cigars,obtains,0
screaming,microscopic,0
sugita,clinton,0
fenestration,resections,0
encephalitis,meningitis,1
malar,maneuvers,0
cirrhosis,hematemesis,1
next,elected,0
reticulocytosis,hematemesis,1
myelosuppression,snoring,1
hemoptysis,coumadin,1
hypercarbic,hiatus,0
stat,layered,0
worked,editorial,0
trachea,math,0
carboplatin,cisplatin,1
rotated,retention,0
ingenuity,conclusive,0
transfusions,qhs,0
tracheotomy,transrectus,0
heartburn,protonix,1
patterns,plethora,0
girlfriend,lysed,0
blepharospasm,bedwetting,1
toothache,ataxia,1
myxomatous,duragen,0
respective,friable,0
allopurinol,colchicine,1
meetings,toilet,0
syncope,atenolol,1
sits,associated,0
omeprazole,geneva,0
consistencies,postpartum,0
four,strategy,0
personnel,flapping,0
stainless,small,0
caudad,out,0
akinesis,displacing,0
pap,azygos,0
suppressed,whereupon,0
incisions,tripped,0
exacerbation,association,0
itchy,upstroke,0
points,resuscitation,0
dilute,measurements,0
colds,cannulized,0
breakfast,urodynamic,0
northwest,demonstrates,0
hyperthyroidism,osteoporosis,1
obesity,osteodystrophy,0
azmacort,retrieved,0
aphonia,mittelschmerz,1
connected,discontinued,0
fractional,gastrojejunal,0
apartment,pancreaticoduodenectomy,0
thrombocytopenia,arthritis,1
uremias,nausea,1
agranulocytosis,anemia,1
summer,cancelling,0
carbatrol,wider,0
nodularity,crux,0
episodic,colonoscopy,0
thinning,spring,0
hernia,sinemet,1
hernias,earache,1
nurse,preforaminal,0
osteoporosis,cardiomyopathy,1
polyuria,chyluria,1
hayes,lactulose,0
preop,resonance,0
pulsatile,drawn,0
cirrhosis,banana bag,1
catatonia,lethargy,1
anoxemia,ataxia,1
toothache,hytrin,1
starvation,anorexia,1
pocketing,vacation,0
syphilis,penicillin,1
synthroid,armor thyroid,1
vacation,development,0
backache,pud,0
lives,ich,0
seasickness,ethanol,1
hypothyroidism,weakness,1
brevis,philadelphia,0
bending,sulfadiazine,0
plavix,lipitor,1
cath,grayscale,0
iron,iron,1
nephritis,pyorrhea,1
deformities,joint,0
consulted,thromboembolism,0
hyperextension,bacitracin,1
stasis,allopurinol,0
bladder,aortopulmonary,0
variant,peritoneal,0
fixators,manufacturer,0
neuropathy,insulin,1
recommended,botox,0
thirsty,hunger,1
dyslipidemia,lipitor,1
cortisone,adenosine,1
fahrenheit,scalloped,0
flatulence,glucagen,1
smoker,parapharyngeal,0
passed,paddle,0
kefzol,rays,0
zocor,fish oil,1
husband,ménière,0
anovulation,amenorrhoea,1
brevital,bard,0
proteinuria,lisinopril,1
coursed,fasttract,0
humulin,spectral,0
dermatomyositis,myopathy,1
elevator,epicondyle,0
stooped,transhiatal,0
viscosity,pan,0
ditropan,staggering,0
outlined,true,0
camelpox,echinacea,1
agarose,splinter,0
lunch,amplitude,0
glucoses,disrupt,0
narcan,duragesic,1
acne,colitis,0
obesity,snoring,1
hyperextension,hunger,1
received,canada,0
intially,cardioverter,0
loculated,intrapleural,0
additional,aforementioned,0
compliant,ada,0
echography,woken,0
footdrop,rem,0
among,decline,0
noninvasively,finally,0
visualize,pilonidal,0
syphilis,dementias,1
pallor,tic,0
e,criticizing,0
subpleural,served,0
lift,exertionally,0
cholestyramine,zetia,1
bottomed,fasciitis,0
dyslipidemia,fish oil,1
mat,sweating,0
suppose,intraabdominal,0
codeine,narcan,1
speciated,lines,0
emaciation,cachexia,1
hemochromatosis,arthritis,1
ceftiaxone,cefoxitin,1
heartburn,motrin,1
ef,presyncope,0
invited,sludge,0
mitomycin,spacer,0
stats,temp,0
svc,pacing,0
starvation,cisplatin,1
software,nontoxic,0
split,douloureux,0
cervicothoracic,descending,0
searched,explains,0
headache,tylenol,1
interviewer,almost,0
zithromax,cipro,1
dissipates,birth,0
octreotide,angiography,0
meningitis,ceftiaxone,1
mycosis,blastomycoses,1
dyslipidemia,angina,1
uremias,hypersomnolence,1
hydrolytic,jvp,0
fang,grandson,0
candidacy,subdiaphragmatic,0
sinemet,gifulvin,1
peritonitis,ataxia,1
precentral,peeled,0
pelvis,criss,0
eradication,valid,0
vomit,impactions,0
elasticity,breckenridge,0
arthritis,cirrhosis,1
cpt,stoke,0
beveled,disclosing,0
mannitol,tylenol,1
compressions,nightsweats,0
pravachol,married,0
careful,coronal,0
angina,cardialgia,1
side,circumstance,0
shock,tolerating,0
apb,hematoma,0
swings,gout,0
